location,reviewer_id,content
Blida,علي زبير,استقبال جيد
Blida,LAMINE KEBBAB,3.5
Blida,Midou Sou,"J'ai passé chez un jeune homme, il est très serviable."
Blida,chikhi nour el imen,"Un service en dessous de tout niveau acceptable. Beaucoup de clients présents, mais les guichets restent vides et les employées absentes. Un manque total d’organisation et de professionnalisme."
Blida,Faycal Bouadjedia,Good
Blida,M Manel,"The service was quick , the staff is friendly"
Blida,Abderrahmane Boulaioune,Les employés doivent être appris à régler des problèmes de booking ... Pourquoi avoir une agence ici à Blida alors qu'on est dans l'obligation de se déplacer à ALGER CENTRE parce que le staff est plus informé et formé là-bas ...
Blida,Amar Boudjaba,موقع صعب الوصول إليه خدمات مقبولة معاملة مع الموضفين مقبولة + كملاحظة : أفضل أن تكون الإجابة بلغة السؤال .
Blida,Farfar El gatto,"Personnel accueillant à l'écoute, réactif et patient ."
Blida,Hammad Abdanour,ممتاز
Blida,Gnod Knud,5 étoiles ! Très bon accueil ! Chaleureux et à l'écoute !
Blida,sar semmar,"J'ai été très chaleureusement reçu, c'était juste pour payer le ticket car la réservation à été faite par téléphone."
Blida,Walid Walid,ثقال كامل و سامطين
Blida,Hugo Boss,"Le prix des billets est une honte, c'est les plus chers à croire ke l'on va à Dubai , Turquie Maroc Tunisie....sont à bas prix, on se demande où va l'argent"
Blida,Moh Bousta,Merci à vs ts
Blida,B S,للأسف خدمات بطيئة جدا و كراسي مهترئة و موقعها من الصعب الوصول إليه.
Blida,rayan hanou,assez bien
Blida,Farida Kellel,le service marhaba pour le service fauteuil roulant pour personne âgés tres tres bien un très bon service mes félicitations continuer comme çà
Blida,Aba Salim,Très bon
Blida,Laid Mohamed,"Très beau et merveilleux... excellent service, haute qualité"
Blida,Areslane Abdelaziz,"Air Algérie est une compagnie aérienne qui incarne l'hospitalité et la connectivité, reliant le monde à l'Algérie. Leurs services fiables et leur personnel dévoué offrent une expérience de voyage inoubliable. Que votre destination soit la superbe Algérie ou d'autres horizons, Air Algérie est là pour vous emmener vers de nouveaux horizons."
Blida,SIGNÉ FR,"C'est dernière années air Algérie connu une très bonne évaluation au niveau des services, je recommande"
Blida,Khalifa Az,Une très belle compagnie
Blida,Lamine Mustapha,Momtaz
ALGER CENTRE  ,MED,Exellent travaille
Blida,Katia Aoudj,Service très lent ....
Blida,Hichem HDD,2
Blida,Maameri Mohammed,Allah ybarak
Blida,Djihane Mebarki,"Service tres lent , agence mal organisée, y avais qu un seul guichet en service pour plus de 100 client"
Blida,Moh the alchemist,Deux guichets ne sont pas suffisant
Blida,Diana Ery,Une seule personne pour gérer toute l'agence.
Blida,Youness DAHMANI,C grave
Blida,rabah kasri,Bon accueil
Blida,So Raya,Juste juste
Blida,Omar TAHMI,Service très lent
Blida,abdelhafido chaine,Satisfait
Blida,amel blida,Merci beaucoup
ALGER CENTRE  ,MED,https://www.google.com/maps/contrib/102902221920455593311?hl=fr
ALGER CENTRE  ,MED,72
Blida,Ladyyacouta Ladyyacouta,L'aventure commence
Blida,Djaafar Koudia,خدمات جيدة معاملة جيدة
Blida,chafik chafik,Thya Bladi. تحيا بلادي
Blida,bennia hamza,Nothing to see here
Blida,joseph arth,c'est quoi l'indicatif de votre planète s'il vous plait???
Blida,Kader Kader,Féerique
Blida,Ilies Kabli,Très bien
Blida,NECEREDDINE SETTAR,Nul 000
Blida,Choukri The Adventurer,Le bon travail
Blida,Alaa Eldin Abdelmoazz,اسعار التذاكر ، جيدة مقارنة بشركات أخرى.
en,de,rétrogradés
du,d’enfants,Oui
ça,domestiques,sans
ALGER CENTRE  ,MED,https://lh3.googleusercontent.com/geougc-cs/ABOP9ptvGe_sOBkfZxN1bNBOjcbq7Q7Oe6BM5f2pvDCEnFB_onw6S5xZd8-q7IcOkSYIqGpzibcCNSBWyPakE_Kp9R3xwuuZ9XV15SJTWhALD9uq_PLVnahQ60zSwp2hR4-UXbqLywMI
Blida,ait messaoudene Tarek,Lah ghaleb y'a pas d'autres solutions pffffffffff
Blida,Bourida Wahib,Pas le choix
Blida,Maestro Salah,false
Blida,mohamed lamine taguida,Un manque de professionnalisme
Blida,Adel Abdelmalek,Service nul et long... décoration des années 60
Blida,Redha Moussaoui,3
Blida,Imad Hammani,Service médiocre
ALGER CENTRE  ,MED,mauvais
ALGER CENTRE  ,MED,1.5
ALGER CENTRE  ,MED,noooooo
ALGER CENTRE  ,MED,1
ALGER CENTRE  ,MED,https://www.google.com/maps/contrib/111219148364568002068?hl=fr
Blida,Oualid KOULLA,Aménagement des années 70
Blida,Casper Ulysse,Service lent les agents à la limite du supportable on dirait qu'ils vendent du pain et que tout est acquis et c'est une image qui reflète l'état de la compagnie
Blida,Mohamed Ouddane,Très smpa bien organisé rapide je suis étonné par c sevices le personnel très gentil merci
Blida,loula loulita,très bien bon continuation
Blida,ZINE-EDDINE Achoubi,Acceptable
ALGER CENTRE  ,MED,big no
ALGER CENTRE  ,MED,0
ALGER CENTRE  ,MED,4
Chéraga,Ele mahdi Ourabia,3.1
Chéraga,amine zair,mayrfdou ma walou
Chéraga,Ilyes AIT ABDESSLAM,Pas beaucoup de monde
Chéraga,Hiho Gigo,سوء المعاملة والإهمال
Chéraga,MOUNSIF FRAH,"I had a terrible experience with Air Algérie’s online booking system. I bought a ticket using my Dhahabiya card, the money was taken immediately, but I received no confirmation, no ticket, nothing. When I went to the airport office, they told me they had no record of my booking. That meant my money was gone, and I had to buy another ticket and pay again just to travel. Absolutely ridiculous. For a national airline, this level of incompetence is unacceptable. No wonder the company is struggling."
Chéraga,miloud toualbia,معاملة جيدة
Chéraga,Boukhemis,The worst airline in the planet
Chéraga,Houda Bdn,"Aucun professionnalisme, un manque de respect flagrant, et pour couronner le tout, une fermeture bien avant l’horaire prévu, sans aucune considération pour les personnes présentes. Ce genre de comportement est inacceptable et témoigne d’un sérieux manque de rigueur. J’espère qu’une amélioration sera envisagée, avec un changement de personnel car cela nuit gravement à votre image."
Chéraga,Khedaoui Walid,AirAlgérie la plus mal organisée de toute l’Algérie toujours beaucoup d’attente sur les 4 bureau Il y a 2 personnelle qui travaillent. Très déçu de service et très mal accueilli
Chéraga,clark abessolo,Pas mal
Chéraga,Jazairi Fi bladou,"Très mauvais accueil du monsieur costaud son bureau est tt à fait à droite. En plus pas compétent il me dit que c pas possible de s'inscrire ds la liste d'attente et qu'il a sois disant 13 ans d'expérience. Alors que c possible de s'y inscrire, il m'a fair perdre du temps et j'ai pas pu prendre la date que je voulais. Par contre à"
Chéraga,wahid frrf,الموظف لا يستقبل الزبون بل يتكلم في الهاتف ليستقبل حجوزات زملائه حسبي الله ونعم الوكيل
Chéraga,mustapha yaiche,Mauvais accueil
Chéraga,عدنان كوكش,ممتازة
Chéraga,Aziz Kabache,Acheter des billets d'avion tout c'est bien passé
Chéraga,sami mami,Agence de voyage national à la con.
Ouest,Compagnie aérienne,Ci9DQUlRQUNvZENodHljRjlvT2pWcGVGOHdRM2xyYW5kR04yWTBUVU4xTXpGTVJXYxAB
Ouest,Compagnie aérienne,2025-12-24T21:47:26.730Z
Ouest,Compagnie aérienne,Ci9DQUlRQUNvZENodHljRjlvT2toUFJVMXRibk5SVlhGVGJuWk9VME0wZFRkM1NXYxAB
Ouest,Compagnie aérienne,Ci9DQUlRQUNvZENodHljRjlvT2tNeWNuY3ROazFHTTJnNU1IUTNXbkpVZHpCQ1RWRRAB
Ouest,Compagnie aérienne,2025-11-12T17:23:56.948Z
sans,d’œil,le
Ouest,Compagnie aérienne,2025-11-08T21:12:50.915Z
Ouest,Compagnie aérienne,2025-11-02T22:29:38.628Z
Ouest,Compagnie aérienne,2025-10-23T16:55:41.241Z
Ouest,Compagnie aérienne,2025-09-22T14:55:11.423Z
du,mal,passagers
Ouest,Compagnie aérienne,2025-09-18T08:05:42.068Z
Ouest,Compagnie aérienne,2025-08-28T13:20:00.677Z
Ouest,Compagnie aérienne,2025-08-25T07:45:02.345Z
Pour,d’attente,de
Ouest,Compagnie aérienne,2025-08-01T20:2.5:58.684Z
Ouest,Compagnie aérienne,2025-06-29T20:10:12.372Z
Ouest,Compagnie aérienne,2025-06-25T21:23:26.2.56Z
Ouest,Compagnie aérienne,2025-06-20T21:02:26.637Z
Ouest,Compagnie aérienne,Ci9DQUlRQUNvZENodHljRjlvT2kwMWEwcFVOMFJoTlhKWVRrRkNPWE5mYzFvNVdXYxAB
Ouest,Compagnie aérienne,ChdDSUhNMG9nS0VLTDk3X3licVpxUGxRRRAB
Ouest,Compagnie aérienne,ChZDSUhNMG9nS0VNX0wzTXFtcWNDYUxBEAE
Chéraga,Rabie KHA,"Mauvaise agence d'air Algérie au niveau d'ALGER CENTRE ,par expérience."
Chéraga,ahlem ahlem,كارثة بكل معنى الكلمة
Chéraga,m la,it is so complicated to book a flight
Chéraga,Yous Yous,Pratique concernant l'emplacement (ALGER CENTRE Ouest) mais je dirais également que l'accueil est à améliorer malheureusement.
Chéraga,Azouz Nachida,"Pire agence , pire personnels antipathiques qui ne servent à rien🤮 j’ai appelé l’agence air Algérie au téléphone pour demander une assistance pour ma fille du coup on m’a recommandé de se déplacer au niveau des agences air Algérie les plus proche , j’ai été à cel de Cheraga , y’avait une jeune super sympa qui est en stage je pense elle a vue l’ordonnance et la lettre du médecin jusqu’à l’arrivé de la fameuse dame avec une démarche et une façon de parler bizarre , avec son shwingum je vous laisse imaginer la Seine qui me dit non impossible y’a pas de disponibilité ce jour là !!!!!! J’ai dis quoi comment ma fille a un plâtre et ne pourra pas marcher et je suis seule avec les bagages me réponds ben comme ça !! J’ai dis vous êtes sur !!! M’a dit oui je peux rien vous faire 😡😡 Wech nkoulek yali mechi mrabia Ida Rbahti Yarbah خاين السوق et pour vous dire ma fille n’avait pas besoin d’assistance hmdouleh Parsq elle a enlever son plâtre la veille al hmoudelh rabi kbir wentia Rabi yetwelek 🤲🏻🤲🏻"
Chéraga,Abdenacer Sebihi,"Agence fermé le samedi alors que sur leur site, ils disent le contraire !!!!@@@@"
Chéraga,Roobeen's world,❤️
Chéraga,Djaafar Koudia,العمال طيبون، طريقة التعامل جيدة جدا
Chéraga,UNIC Properties,"Personnel antipathique et hautain qui ne sait pas parler aux clients, notamment le vieux monsieur et la dame de la caisse dans le guichet à gauche."
Chéraga,Ab dje,Service pas mal
Chéraga,rose du sable,Une agence qui refuse de recevoir les clients et ferme tôt. Ils te renvoient ou pire ils te laissent dehors en gardant le rideau à moitié fermé. AIR ALGÉRIE il est temps de revoir vos agences
Chéraga,Yanis MOKRANI,Réouverture de l'agence !!!!
Chéraga,Mohamed billel Mehazzem,J'aime son travail parceque il aime les animaux
Chéraga,je suis là,Cette agence est fermée
Chéraga,وجدي وجدي,Eli il toujours ouverte?
Chéraga,Minoso Dlm (“Minoso dlm”),"Pour l’ensemble de côté ouest d’ALGER CENTRE jusqu’à tipaza ville de préférence de traiter avec ce point, temps d’attente deux trois clients, mieux que celui de boufarik qui est super chargé."
Chéraga,Dark Snow,Meilleurs pilotes au monde
Chéraga,Amine Rifak,normal qu'elle ferme le vieux aux lunettes au comptoir est un épouvantable agent
Chéraga,Pino Nini,L'agence est définitivement fermée et ce n'est pas signalé sur Google donc 1H de perdu pour enfin y arriver et trouver le rideau fermé.
Chéraga,sof Bz (SOF-BZ),Politique de l'entreprise a revoir
Chéraga,hamza karim ouadah,Très bonne compagnie
Chéraga,Messaadi Mohammed,"La plus grande compagnie commerciale nationale qui refusent les paiements par carte Dahabia ou par chèque et qui n'accepte que le cash....c'est désolant et triste, comment réfléchissent ses pseudos dirigeants.??"
Ouest,Compagnie aérienne,2025-05-06T19:50:21.514Z
Ouest,Compagnie aérienne,2025-04-10T12:37:51.448Z
Ouest,Compagnie aérienne,2025-04-04T14:58:14.592Z
Ouest,Compagnie aérienne,2025-03-14T07:14:05.821Z
Ouest,Compagnie aérienne,2025-03-13T03:2.5:12.671Z
Ouest,واحد,صبح
changer,une,partais.
Chéraga,Mahrez ben aissa,يفتحون متأخرين ويغلقون باكرا!
ALGER CENTRE  ,MED,https://www.google.com/maps/contrib/103292599632156729407?hl=fr
ALGER CENTRE  ,MED,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN1X2ZyanJRRRAB!2m1!1s0x0:0xefa63158233611e7!3m1!1s2@1:CIHM0ogKEICAgICu_frjrQE%7CCgwI-6OvlwYQkLWV1wI%7C?hl=fr
Ouest,Compagnie aérienne,2.5
Ouest,Compagnie aérienne,"2,5"
Ouest,Compagnie aérienne,"3,5"
Ouest,Compagnie aérienne,"1,5"
Ouest,Compagnie aérienne,2022-01-23T15:02:11.629Z
Ouest,Compagnie aérienne,ChZDSUhNMG9nS0VJQ0FnSURtcE2.5aEtREAE
Ouest,Compagnie aérienne,2022-01-13T19:53:52.92.5Z
Ouest,Compagnie aérienne,ChZDSUhNMG9nS0VJQ0FnSUNteThuaVhBEAE
Ouest,Compagnie aérienne,ChdDSUhNMG9nS0VJQ0FnSUNtX3RQWF9BRRAB
ALGER CENTRE  ,MED,Google
ALGER CENTRE  ,MED,https://lh3.googleusercontent.com/a-/ALV-UjW8omvYvJZVxRMecDOGPLZeLNW3Ii6U99-z8GlWQ2CdA8pgrOcO=s1920-c-rp-mo-ba4-br100
Air,I,the
any,it,my
Algérie,information,pour
n'importe,de,seule.
CONSTANTINE,3.2034639,Air Algérie Headquarters
setif,3.0962958,Technopôle Air Algérie
et,professionnel,météo
Centre,true,woow
Centre,false,bien
Centre,true,good
Centre,true,very nice
Centre,false,bienn
setif,3.0962958,no
setif,3.0962958,big
setif,3.0962958,nooo
setif,3.0962958,nn
setif,3.0962958,nnnnn
classe,sous,?
été,dit,!
agit,contrôle,endroit
Centre,false,https://www.google.com/maps/contrib/104455736759777428757?hl=fr
Centre,true,https://www.google.com/maps/contrib/1050162822.55231487576?hl=fr
Centre,true,https://www.google.com/maps/contrib/105791786584146705123?hl=fr
Centre,true,https://www.google.com/maps/contrib/115538010347420782680?hl=fr
Centre,true,https://www.google.com/maps/contrib/109413506582144929973?hl=fr
Centre,true,https://www.google.com/maps/contrib/105976254804291529352?hl=fr
Centre,true,https://www.google.com/maps/contrib/108221649760532079747?hl=fr
Centre,true,https://www.google.com/maps/contrib/116772697695848360523?hl=fr
2025.,17h45,nationale
Il,l’impunité,piston
sont,rendant,compris.
Parce,années,que
tant,De,3.4
CONSTANTINE,3.2034639,"Direct Detail URL: https://www.google.com/maps/place/Air+Alg%C3%A9rie+Headquarters/@36.7671261,2.476642,10z/data=!4m7!3m6!1s0x128e514df785f585:0xef5cdc5725c2a702!8m2!3d36.7164715!4d3.2034639!15sCgthaXIgYWxnZXJpZSIDiAEBWg0iC2FpciBhbGdlcmllkgEQY29ycG9yYXRlX29mZmljZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycFZOVmRyTVdaWFJrb3daVlUxZFdSVVNubE5XRW8wWW1zNVNFNUhZeEFC4AEA-gEECAAQQQ!16s%2Fg%2F11pc9xdy6z?entry=tts&g_ep=EgoyMDI2MDIyNC4wIPu8ASoASAFQAw%3D%3D&skid=8d60184f-8b02-4873-ac60-27beb5768d82"
ALGER CENTRE  ,/g/11cs1stbs5,https://www.google.com/maps/contrib/107376465022350837441?hl=fr
ALGER CENTRE  ,/g/11cs1stbs5,https://www.google.com/maps/contrib/118298640708714158674?hl=fr
pour,donne,en
je,2,retour
ALGER CENTRE  ,/g/11cs1stbs5,406
pratiques,plateformes,:
ALGER CENTRE  ,/g/11cs1stbs5,https://www.google.com/maps/contrib/105912678732745820521?hl=fr
Algérie,fr,"Direct Detail URL: https://www.google.com/maps/place/%D9%85%D8%AE%D8%B2%D9%86+%D9%88%D9%85%D9%83%D8%AA%D8%A8+%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A+%D9%84%D9%84%D8%AE%D8%B7%D9%88%D8%B7+%D8%A7%D9%84%D8%AC%D9%88%D9%8A%D8%A9+%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A%D8%A9%E2%80%AD/@36.7671261,2.476642,10z/data=!4m7!3m6!1s0x128e510f7c4aceff:0xd73bd47b9cda52d8!8m2!3d36.6986062!4d3.2057525!15sCgthaXIgYWxnZXJpZSIDiAEBWg0iC2FpciBhbGdlcmllkgEHYWlybGluZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMWJtOTVUVUYzRUFF4AEA-gEECAAQOQ!16s%2Fg%2F11q4hd2fqv?entry=tts&g_ep=EgoyMDI2MDIyNC4wIPu8ASoASAFQAw%3D%3D&skid=9b8163b2-edb6-49d9-a776-0cc31ba4ee44"
Algérie,fr,5
Algérie,fr,2026-02-27T16:17:50.862Z
Algérie,fr,https://www.google.com/maps/contrib/114560776513408204998?hl=fr
Algérie,fr,https://www.google.com/maps/contrib/11302.5653602.5824571?hl=fr
ALGER CENTRE  ,/g/11cs1stbs5,https://www.google.com/maps/contrib/102930067786995202.541?hl=fr
ALGER CENTRE  ,/g/11cs1stbs5,https://www.google.com/maps/contrib/107818697133812109956?hl=fr
Algérie,fr,2026-02-27T16:18:06.192Z
Algérie,fr,"Direct Detail URL: https://www.google.com/maps/place/Agence+Air+Alg%C3%A9rie/@36.7671261,2.476642,10z/data=!4m7!3m6!1s0x128fb3786b3ad7af:0x6317719bea770412!8m2!3d36.72.56074!4d3.0700913!15sCgthaXIgYWxnZXJpZSIDiAEBWg0iC2FpciBhbGdlcmllkgEHYWlybGluZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNdGNqaElia2RuRUFF4AEA-gEECAAQJw!16s%2Fg%2F11j2y7_zxc?entry=tts&g_ep=EgoyMDI2MDIyNC4wIPu8ASoASAFQAw%3D%3D&skid=18754295-f82b-493d-9966-d9f1658c0f71"
