Note,Titre,Commentaire,Date
1,1 star,"1 star — completely unacceptable.
Air Algérie diverted my flight from Heathrow to Stansted without notifying me at all. I only found out through a friend, not the airline. That alone says everything about their communication — or lack of it.

I live near Heathrow, so being forced to travel an extra hour to Stansted was a major disruption. Worse still, I was traveling with my special needs daughter who requires a wheelchair. The airline showed zero consideration for passengers with disabilities or families with additional needs. Getting to Stansted is a serious challenge for us.

No warning, no assistance, no empathy. This experience was stressful, exhausting, and completely avoidable. I would strongly advise disabled passengers and families to avoid Air Algérie.","Jan 17, 2026"
1,Why have an online check in if I have…,Why have an online check in if I have to check in again at the airport? Wtf is wrong with you?,"Dec 17, 2025"
1,Worst airline in Africa,"My checked bag went missing after my flight with Air Algérie, and after some time the airline told me that it had been found at Béjaïa Airport. They said it would be sent to my home address, since I had already left Algeria. After that message, everything stopped.

I have been trying to contact Air Algérie since the summer — emails, forms, messages — and I have not received a single reply. No update about my bag, no explanation, no follow-up. Months have passed and the airline continues to ignore every attempt I make to resolve the situation.

Losing a bag can happen with any airline, but the complete silence after confirming they had located it is unacceptable. My belongings have still not been returned, and I have had to deal with this entirely on my own.

This has been one of the worst customer service experiences I have ever had, and I am sharing this so others are aware of how Air Algérie handles situations when something goes wrong.","Dec 10, 2025"
1,Worst customer service,"Worst customer service in this world, which kind of people who you can hear them talking bad about the client..","Nov 19, 2025"
1,The worst airline you can ever imagine,"The worst airline you can ever imagine. Changed my flight and was refused refund, not even a partial refund. Avoid at all cost.","Oct 10, 2025"
1,Honestly a disaster!,"Honestly a disaster!! I haven't used Air Algerie for over 15 years. I gave it ago today, and it was a catastrophic experience from start to end. Today the flight was on time, however, 1st class no signs or any indications to board as 1st class, we only been instructed to line up all in one lane and aggressive behaviour from the old lady leading the team, I hesitated to ask, but than had to and as the queue was too long etc... I was told yeah its ok to jump the queue but no organisation or anythjng... But importantly is once again the under performance of the staff not qualified to do the job to my opinion in all areas, it's obvious they are not scared of getting disciplined or reprimanded they make you feel they own the place and us customers we are under valued in fact we are nothing! The plane was very poor standards very old dirty everywhere and the shock is with all honesty from the start soon as we boarded the guy in charge Sat on a chair had coffee and kept talking to a couple of stewards they go n come back than that corner right behind the co pit turned into a meeting room they were 4 of them sat talking even when the pilot announced we are descending where the procedure is to raise the curtains and staff to lead by example after checking passengers and seat belt etc no no no one was checking they put the curtain down so that they dont get disturbed kept talking until nearly the end... It was disrespectful and unprofessional! I will never ever use Air Algerie again simple! Today's flight Algiers to London Heathrow....","Sep 16, 2025"
1,If there was a way to give this airline…,"If there was a way to give this airline a minus multiple times I would, how can you keep someone for almost a day without provision of accommodation or food, then when she complains you block her!

Meanwhile your white passengers are treated like VIPs!!!!!!!!!!!!","Sep 11, 2025"
1,Air Algerie,"Air Algerie, is the worst airline in the world.
Costumer service Zero very bad
Staff horrible Zero education
Service under zero
Food the shit quality
Time always delay
So is better close the airport and use donkeys to travel .
Ratssa morra
Rip off","Sep 9, 2025"
1,Horrible experience I had my ticket…,"Horrible experience I had my ticket confirmed I got to the airport they said sorry the plane is full apparently the sold tickets more then the capacity of the air plane
So they put me on the afternoon flight that flight got delayed 3hours would you believe it
I left home at 6 in morning I got home at 23:40
For two hours trip
Air Algérie get lost","Sep 3, 2025"
1,Worst costumer service ever and bad service I will not encourage anyone to use this airline,Worst airline ever poor customer service.text and call the will not pick I lost 400$ for a flight ticket I never used and the refused to make redundant,"Jul 22, 2025"
1,They don't deserve even 0 .after 4…,"They don't deserve even 0 .after 4 years I didn't see my family ,I booked with them.they cancel the flight, they didn't send any email.they never respond.they delay it to July 9 only to Algeria.there is no flight to tunisia.so we have to go home on donkeys guys.this is a piece of s h .....","Jul 8, 2025"
1,Still The same horror … they made go…,"Still The same horror … they made go inside the airplane and unbelievable nobody informing why there is delay …. Now is almost 2 hours and we feel like sardines . The only thing they out the air conditioning on as we started to complain.
2025 and still this kind of mistakes 😡😡😡 shame on you","Jul 3, 2025"
1,Not even worth 1star they never answer…,Not even worth 1star they never answer your queries on time that’s if they reply you may loose your flight and no one cares,"May 27, 2025"
1,Horrible experience…,"I am writing to express my deep dissatisfaction with the treatment my mother and I received during a recent flight check-in experience with your airline.

My mother, an elderly and disabled woman who requires a wheelchair, was subjected to unnecessary stress and humiliation at the check-in counter. Her passport includes the abbreviation “Vve” to indicate that she is a widow, as is standard in French documentation. Unfortunately, your staff seemed completely unprepared to understand or process this minor detail. They questioned the validity of her passport over those three small letters and nearly denied her boarding as a result.

Despite my calm attempts to explain that “Vve” simply stands for “veuve,” meaning “widow,” the agent showed little understanding or empathy. This situation alone was distressing enough for my mother, who cannot stand for extended periods and was visibly uncomfortable.

To make matters worse, another staff member came over and, in an extremely disrespectful manner, instructed my mother to sit on the luggage scale. Asking an elderly woman to sit on a scale in full view of other passengers is not only inappropriate but also deeply humiliating. This completely disregarded her dignity.

The same staff then insisted on taking a photo of my mother’s passport. I explained that this was sensitive personal information and that such an action was inappropriate. The agent acknowledged my concern but still refused to proceed without taking the photo.

This entire ordeal was distressing, unprofessional, and unacceptable. My mother was left in tears, and I was shocked at how your staff handled the situation.

I must ask: Is this how Air Algeria treats elderly and disabled passengers? Why are staff members not trained to recognize common international document notations, or to handle such matters with care and respect?","May 3, 2025"
1,The worse Airlines I have ever come…,"The worse Airlines I have ever come across, almost all thier, flights delayed, up to 4hrs delay at transit without any compensation and my luggages where left behind on both trips, which I only received it after 2 weeks, one of bags was destroyed and I lost valuables inside which I wrote the customer service on several occasions but have never gotten a reply 😢","Apr 15, 2025"
5,Good in Algérie,Good in Algérie,"Dec 28, 2024"
1,The worst company ever,"The worst company ever. I bought my ticket with 19000 Da Istanbul back to Algeria due my researches I wanted to delay my trip back home until summer and as my family reached them, they said I need to pay 50 euros plus 80000 da ( 8 million avec notre derja) this doesn't make a sense by any means! This amount could be a round trip even ! How can you tell me that I would be able to change only within the limit of two months and I should make it open ( and even the programmed trips if I pay that amount is only till the month of march)?? When was this regulation of expensive extra fees created and why your customer service don't tell us abt these situations in advance??","Oct 17, 2024"
1,No Refund 4 months later,"I booked a trip from Paris to Johannesburg via Last Minute Booking - Air Algerie cancelled the flight 2 weeks before the flight. I have not received my refund and its 4 months later; Last Minute keeps putting the blame on Air Algerie, as they have not refunded them. DO NOT USE THIS AIRLINE. I've rated both companies 1 star - because wow, what is this service. Based on their reviews I don't understand how they even have 2 stars on here.","Oct 9, 2024"
3,Positive change,"It has been long time since I booked tickets with air algerie .
Im very pleased to see positive change such as a good customer service, very friendly and supportive staff.
I hope all the best to our air algerie,
On the other hands, the service needs to be punctual , always running late . The airplane need
To be clean with good sanitary needs and hygiene at all the time .","Sep 20, 2024"
1,The worst airline ever!,"The worst airline ever!
I travel every now and then to Algeria to visit my family. I usually take Delta from the US to France then take this awful airline to a city called Annaba (I don't have other choice, but this airline).
It is, definitely, the hardest part of my travel.
Dirty: you can't even see through the windows, seats are dirty and broken...
Crew: They don't speak English. Who the hell still doesn't speak English in the world
DELAYS: Always. Last flight was delayed by 5 hours with no apology. They announced it right by the check-in time!!
PEOPLE: Not organized. They can't even form a line and they would come in front of you with no apology.
FYI: I am originally from Algeria, but traveling to that country with Air Algeria makes me wanna throw up. Avoid this airline at any costs. I've never seen an airline worse than this one!","Sep 7, 2024"
1,INCOMPETENT PEOPLE WITH ZERO IOTA,"INCOMPETENT PEOPLE WITH ZERO IOTA, THEY DON'T CARE. OUR FLIGHT TO DOUALA WAS DELAYED, THEY DID NOT EVEN ALERT US OR TELL US WHAT WAS HAPPENING.

we started boarding almost 1 hour late.","Aug 8, 2024"
1,Cancelled flight and won’t pay back,"I would give a 0 if I could. Cancelled the tickets we bought months ago, júst before we were eligible for extra compensation, but keep the flight online for money purposes I guess. THEY WILL NOT PAY YOU BACK. Had to rebook tickets at a high price and still waiting for a refund. They do NOT RESPOND to anything. This airline should be forbidden to operate.","Aug 4, 2024"
1,It’s broken! The whole country is🫣,"Some nations take pride in their national airlines, but we Algerians avoid ours at all costs! This is the worst airline you could ever imagine. Take my advice and don’t use them! Customer service is nonexistent—they don’t answer phones, respond to emails, or acknowledge social media messages. The airline staff are unprofessional, the aircraft are ancient and filthy, customs and police smoke at the airport, the toilets are disgusting, and the airport trolleys are broken, just to name a few issues.","Jul 27, 2024"
1,I booked a seat with a baby online,"I booked a seat with a baby online, but at check-in, they moved us to a middle seat without considering we were traveling with an infant. It was extremely uncomfortable, and the staff was incredibly rude and unhelpful in resolving the issue.","Jun 10, 2024"
5,Well what can I say very impressed …,Well what can I say very impressed with air algerie agency it took me 15 minutes to get through the person I spoke to on the phone was absolutely fantastic he even rang me back later to check if a recieved my flights confirmation I definitely recommend it ***** thank you who ever I spoke to earlier on,"May 2, 2024"
1,Avoid if possible,"Unfortunately, I cannot put 0 stars. Abysmal service.","Mar 16, 2024"
1,They canceled my flight and refuse to pay,"They canceled my flight and the only option given was to depart a day before planned and go to an other city.

No refund for any expences and costs to substain because they tell you if they can get you to the same country, the rest is literally your business...
I was politely asking why at the consumer service, they hung me the phone on the face.

NEVER AGAIN!","Feb 28, 2024"
1,Appalling Service - Worst Airline EVER!!!,"The staff is rude, incompetent and totally unhelpful. They made black people board last on their flights and when asked why, they couldn't give valid reasons citing that POLICE are checking our authenticity. On top of this they lost my luggage, sent it to Russia, when I live in the UK. They do not respond to emails, phone calls, social media messages. I WILL NEVER USE THIS SERVICE AND 100% DO NOT RECOMMEND THIS ATROCITY OF AN AIRLINE.","Dec 2, 2023"
1,Worst airline ever,"Unfortunately I must change my plans and I can’t use my tickets.
Sent 2 emails searching information about refund’ options.
Still waiting answer after weeks.
Shame…","Oct 6, 2023"
1,Flew from Jeddah to Algiers on a airbus…,"Flew from Jeddah to Algiers on a airbus 330 for just 11 passengers. Seats and inside of the plane were absolutely filthy! Food was ok,the only good thing were the stewards, very polite. Spent 6 hours in the airport where the shops don't accept cards,only cash! Flight to Heathrow was delayed, no information and boarding gate changed without being told. Would never use again.","Sep 19, 2023"
5,Amazing food great staff,"Amazing food great staff
Amazing experience","Jul 28, 2023"
1,Shame on you,"Shame on you
4 hours on the phone and still no answer.
Unprofessional airlines.
I wonder why Algerian people are switching to other air lines .","Feb 14, 2023"
1,Les responsible de air algerie son des…,"Les responsible de air algerie son des fils de france come toujour . Les biller Paris alger 5 person et de €1400
London alger £3800 pour 5 person. Les meme Heure et date. Et tragé. Ce son des esclave des francaise maleureusment . Allah yarham chouhada qui sont batu pour libery not payé. Et les fils de harki qui a rendu l'algerie pour les francais Allah idalkoum","Feb 5, 2023"
1,It's a nightmare,"It's a nightmare, don't think it's goanna improve one day, made a lateness for more than 5 hours, no apology no food no accommodation no explanation and no sense of responsibility, Letterly it's a disastrous company in all aspects. This company needs to be completely erased from world skies networks.","Updated Nov 9, 2022"
1,The worst company in the galaxy,"The worst company in the world, for a flight from Montreal to Algiers that cost $2000 you will get :
1- Hostesses and stewards are rudes. 2- Menu : small portion of pasta with tuna and tiny portion of salade also pasta, everything tastes very awfull.
3- Seats are very dirty and the dinner table was broken.
4- No screens in the seats and the information screen was broken.

I will never travel with this company","Aug 15, 2022"
1,I bought a business cabin ticket from…,"I bought a business cabin ticket from Algiers to Montreal, i was expecting a real business class, it turned out seats are economy class with leather…. I was veeery pissed 😤","Apr 7, 2022"
1,The worst company in the planet,"The worst company in the planet, you can not book a ticket with knowing someone working there all system corrupted","Mar 28, 2022"
1,I want to change my ticket from…,I want to change my ticket from 27/12/2021 to 29/03/2022 the agency in baker street is close down they don't have the option to change it online where I change my ticket I am disappointed,"Dec 26, 2021"
5,Air Algérie London office,"We are so grateful to the guy who works @airalgérie London office, line 1
He helped us to book our interior flight
Thank you very much sir, you saved my husband's life and we're so grateful for your help and kindness.","Updated Jan 15, 2020"
1,i went to air algerie office at baker…,i went to air algerie office at baker street ask for ticket price they told me 220 pound i went to third part agency the price is 195 pound i don't know whats going on,"Apr 18, 2019"
2,Need to perform new system for its…,"Need to perform new system for its Loyalty program
Weak customer service experience in airport
Need to enhance its website services","Sep 7, 2018"
5,Good service and good price comparing…,Good service and good price comparing to other companies. The best option to visit this wonderful country witch is Algeria.,"Mar 1, 2018"
5,no airlines offer the same time and …,no airlines offer the same time and service really pleased with that thank you Air algerie,"Jul 1, 2017"
